Info 0    [17:56:52.990] Starting TS Server
Info 63   [18:10:4.541] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 17ms
Info 64   [18:10:4.541] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 65   [18:10:4.742] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [18:10:4.759] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 17ms
Info 67   [18:10:4.759] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 68   [18:10:4.916] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [18:10:4.933] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 17ms
Info 70   [18:10:4.933] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 71   [18:10:5.44] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [18:10:5.61] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 17ms
Info 73   [18:10:5.61] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 74   [18:10:5.100] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [18:10:5.116] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 16ms
Info 76   [18:10:5.116] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 77   [18:10:5.356] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [18:10:5.373] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 17ms
Info 79   [18:10:5.373] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 80   [18:10:5.448] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [18:10:5.462] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 14ms
Info 82   [18:10:5.462] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 83   [18:10:6.36] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [18:10:6.52] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 16ms
Info 85   [18:10:6.52] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 86   [18:10:6.92] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 87   [18:10:6.109] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 17ms
Info 88   [18:10:6.109] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 89   [18:10:6.268] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [18:10:6.283] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 15ms
Info 91   [18:10:6.283] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 92   [18:10:6.453] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 93   [18:10:6.469] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 16ms
Info 94   [18:10:6.469] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 95   [18:10:6.540] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [18:10:6.558] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 18ms
Info 97   [18:10:6.558] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 98   [18:10:6.642] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [18:10:6.660] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 18ms
Info 100  [18:10:6.660] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 101  [18:10:6.684] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [18:10:6.698] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 14ms
Info 103  [18:10:6.698] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 104  [18:10:6.748] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [18:10:6.764] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 16ms
Info 106  [18:10:6.764] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 107  [18:10:7.319] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 108  [18:10:7.341] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 22ms
Info 109  [18:10:7.341] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 110  [18:10:8.93] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [18:10:8.114] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 21ms
Info 112  [18:10:8.115] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 113  [18:10:8.533] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [18:10:8.550] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 17ms
Info 115  [18:10:8.550] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 116  [18:11:24.527] Search path: /mnt/hdd/projects/cambiatus/frontend/public/translations
Info 117  [18:11:24.527] For info: /mnt/hdd/projects/cambiatus/frontend/public/translations/es-ES.json :: No config files found.
Info 118  [18:11:24.530] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 119  [18:11:24.624] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 94ms
Info 120  [18:11:24.624] Project '/dev/null/inferredProject2*' (Inferred) 
Info 121  [18:11:24.624] 	Files (128)

Info 122  [18:11:24.624] -----------------------------------------------
Info 123  [18:11:24.780] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 124  [18:11:24.799] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 19ms
Info 125  [18:11:24.799] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 126  [18:11:25.2] Structure before ensureProjectForOpenFiles:
Info 127  [18:11:25.2] Structure after ensureProjectForOpenFiles:
Info 128  [18:11:25.3] got projects updated in background, updating diagnostics for /mnt/hdd/projects/cambiatus/frontend/public/translations/en-US.json,/mnt/hdd/projects/cambiatus/frontend/public/translations/es-ES.json
Info 129  [18:11:32.811] Search path: /mnt/hdd/projects/cambiatus/frontend/public/translations
Info 130  [18:11:32.811] For info: /mnt/hdd/projects/cambiatus/frontend/public/translations/pt-BR.json :: No config files found.
Info 131  [18:11:32.811] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 132  [18:11:32.852] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: true Elapsed: 41ms
Info 133  [18:11:32.852] Project '/dev/null/inferredProject2*' (Inferred) 
Info 134  [18:11:32.852] 	Files (128)

Info 135  [18:11:32.852] -----------------------------------------------
Info 136  [18:11:33.13] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 137  [18:11:33.30] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: false Elapsed: 17ms
Info 138  [18:11:33.30] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 139  [18:11:33.204] Structure before ensureProjectForOpenFiles:
Info 140  [18:11:33.204] Structure after ensureProjectForOpenFiles:
Info 141  [18:11:33.204] got projects updated in background, updating diagnostics for /mnt/hdd/projects/cambiatus/frontend/public/translations/en-US.json,/mnt/hdd/projects/cambiatus/frontend/public/translations/pt-BR.json
Info 142  [18:11:39.750] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 143  [18:11:39.771] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 5 structureChanged: false Elapsed: 21ms
Info 144  [18:11:39.771] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 145  [18:11:51.294] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 146  [18:11:51.321] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 6 structureChanged: false Elapsed: 27ms
Info 147  [18:11:51.321] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 148  [18:11:51.518] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 149  [18:11:51.544] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 7 structureChanged: false Elapsed: 26ms
Info 150  [18:11:51.544] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 151  [18:11:52.94] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
